02136 + READVILLE,"$           1,457,156"
02138 + CAMBRIDGE,"$              491,249"
02139 + CAMBRIDGE,"$           2,525,445"
02140 + CAMBRIDGE,"$           2,156,455"
02141 + CAMBRIDGE,"$           1,914,976"
02142 + CAMBRIDGE,"$                 23,265"
02143 + MEDFORD,"$                 24,721"
02143 + SOMERVILLE,"$           4,491,446"
02144 + SOMERVILLE,"$           2,474,831"
02145 + SOMERVILLE,"$           3,546,404"
02148 + MALDEN,"$         11,421,855"
02149 + EVERETT,"$           6,419,358"
02150 + CHELSEA,"$           4,084,821"
02151 + REVERE,"$           8,152,587"
02152 + WINTHROP,"$           1,449,657"
02155 + MEDFORD,"$           5,840,418"
02169 + QUINCY,"$         15,359,088"
02170 + QUINCY,"$           2,300,639"
02171 + N QUINCY,"$                   3,371"
02171 + QUINCY,"$           2,669,764"
02171 + SQUANTUM,"$                 77,744"
02176 + MELROSE,"$              207,930"
02180 + STONEHAM,"$           1,160,789"
02184 + BRAINTREE,"$           3,137,259"
02186 + MILTON,"$              767,500"
02188 + WEYMOUTH,"$           2,298,495"
02189 + WEYMOUTH,"$           4,396,453"
02190 + S WEYMOUTH,$                            -
02190 + WEYMOUTH,"$           3,280,474"
02191 + WEYMOUTH,"$           1,596,508"
02199 + BOSTON,"$                 78,930"
02203 + BOSTON,"$                   5,543"
02205 + BOSTON,"$              192,574"
02210 + BOSTON,"$              247,847"
Mass. Lottery KENO Sales by ZIP - 2009,Sales
02222 + BOSTON,"$                   2,464"
02269 + QUINCY,"$              197,893"
02301 + BROCKTON,"$           9,763,105"
02302 + BROCKTON,"$              584,197"
02303 + BROCKTON,"$                   9,145"
02322 + AVON,"$           1,057,797"
02324 + BRIDGEWATER,"$           2,002,781"
02324 + E BRIDGEWATER,$                      924
02327 + PEMBROKE,"$              765,810"
02330 + CARVER,"$           1,153,412"
02331 + DUXBURY,"$                   9,420"
02332 + DUXBURY,"$                 11,403"
02333 + E BRIDGEWATER,"$           1,606,638"
02334 + EASTON,"$                 71,044"
02338 + HALIFAX,"$           1,759,302"
02339 + HANOVER,"$           2,576,320"
02341 + HANSON,"$           1,961,407"
02343 + HOLBROOK,"$           2,915,695"
02345 + MANOMET,"$              537,204"
02346 + LAKEVILLE,"$                 11,413"
02346 + MIDDLEBORO,"$           1,549,160"
02347 + LAKEVILLE,"$              656,042"
02351 + ABINGTON,"$           5,232,256"
02356 + EASTON,"$              105,004"
02356 + N EASTON,"$              963,633"
02359 + PEMBROKE,"$           2,466,262"
02360 + PLYMOUTH,"$           2,950,242"
02364 + KINGSTON,"$           3,105,533"
02366 + CARVER,"$                   3,076"
02367 + PLYMPTON,"$                 68,438"
02368 + RANDOLPH,"$           4,436,673"
02370 + ROCKLAND,"$           5,552,361"
02375 + EASTON,"$              288,223"
02375 + S EASTON,"$              949,114"
02379 + BRIDGEWATER,"$                 21,155"
02379 + W BRIDGEWATER,"$           1,363,337"
02381 + WHITE HORSE BCH,"$                   3,936"
02382 + WHITMAN,"$              971,458"
02420 + LEXINGTON,"$              419,693"
02421 + LEXINGTON,"$                 33,680"
02445 + BROOKLINE,"$              163,794"
02446 + BROOKLINE,"$              302,244"
02447 + BROOKLINE,$                            -
