violator_id,violator_name,citation_no,case_no,standard_no,standard_link,proposed_penalty,amount_paid
0801306,"Holley Dirt Company, Inc",8912694,,56.14132(a),http://www.ecfr.gov/cgi-bin/text-idx?SID=f462b60350e1a59e963680947dff1a01&node=se30.1.56_114132&rgn=div8,,
0801306,"Holley Dirt Company, Inc",8638781,000427623,56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12028.pdf,351.00,351.00
0801306,"Holley Dirt Company, Inc",8903432,000411633,47.41(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec47-41.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8903435,000411633,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-9300.pdf,117.00,117.00
0801306,"Holley Dirt Company, Inc",8903434,000411633,46.11(d),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec46-11.pdf,117.00,117.00
0801306,"Holley Dirt Company, Inc",8903433,000411633,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14100.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8903436,000411633,56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12004.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8822973,000397972,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-9300.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8822974,000397972,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14100.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8822977,000397972,56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-9300.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8822975,000397972,56.14100(c),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14100.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8822976,000397972,56.14101(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14101.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8818270,000382609,56.12040,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12040.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8818269,000382609,56.14211(b),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14211.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8818247,000375494,56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12004.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8835756,000360091,50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec50-30.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8835757,000360091,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8732850,000346593,56.14100(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8729316,000334543,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-9300.pdf,117.00,117.00
0801306,"Holley Dirt Company, Inc",8729317,000334543,56.18002(b),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-18002.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8723395,000315004,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-14107.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8723396,000315004,56.11003,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-11003.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8638087,000296474,56.9100(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-9100.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8638086,000293592,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14132.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8638085,000293592,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14100.pdf,807.00,807.00
0801306,"Holley Dirt Company, Inc",8637959,000273703,46.9(a),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec46-9.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8630131,000256650,56.12032,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-12032.pdf,100.00,100.00
0801306,"Holley Dirt Company, Inc",8547867,000230512,56.18010,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-18010.pdf,100.00,100.00
