time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-02T20:02:46.120Z,-9.6058,111.8188,12.69,4.6,mb,,72,2.114,1.22,us,us10008nkc,2017-05-02T21:14:41.040Z,"147km SSW of Tambakrejo, Indonesia",earthquake,6.5,4.6,0.067,69,reviewed,us,us
2017-05-02T19:52:59.470Z,59.7828,-136.5877,5.86,2.6,ml,,90,0.602,0.57,us,us10008ngx,2017-05-02T21:04:00.040Z,"80km WNW of Skagway, Alaska",earthquake,2,8,0.058,39,reviewed,us,us
2017-05-02T19:50:42.679Z,59.7783,-136.7298,1.1,1.8,ml,,,,0.97,ak,ak15876953,2017-05-02T19:54:24.380Z,"87km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-02T19:40:05.717Z,59.8902,-136.7248,0,2.3,ml,,,,0.86,ak,ak15876951,2017-05-02T19:44:41.141Z,"92km WNW of Skagway, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-05-02T19:32:41.438Z,59.7702,-136.6757,0,1.8,ml,,,,0.93,ak,ak15876950,2017-05-02T19:39:49.240Z,"84km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-02T19:30:06.360Z,32.7708333,-116.8876667,-0.36,1.22,ml,22,76,0.05798,0.23,ci,ci37638351,2017-05-02T21:14:12.815Z,"3km SSE of Granite Hills, California",quarry blast,0.41,31.61,0.26,11,reviewed,ci,ci
2017-05-02T19:28:10.820Z,47.0428333,-120.4233333,-0.49,1.62,ml,11,163,0.2992,0.31,uw,uw61277601,2017-05-02T21:27:10.690Z,"6km N of Kittitas, Washington",explosion,1.04,31.61,0.007,4,reviewed,uw,uw
2017-05-02T19:27:52.700Z,59.7527,-136.6946,6.9,2.9,ml,,93,0.543,0.72,us,us10008naa,2017-05-02T20:57:55.040Z,"84km WNW of Skagway, Alaska",earthquake,3.3,6.9,0.052,49,reviewed,us,us
2017-05-02T19:27:02.005Z,59.8011,-136.8264,0,2.5,ml,,,,0.74,ak,ak15876940,2017-05-02T19:39:48.956Z,"93km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-02T19:26:44.296Z,59.7789,-136.6469,7.6,2.2,ml,,,,0.96,ak,ak15876941,2017-05-02T19:36:07.352Z,"83km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-02T19:09:13.040Z,45.8981667,-111.2795,3.75,1.76,ml,16,101,0.256,0.26,mb,mb80207609,2017-05-02T19:34:54.750Z,"6km NE of Manhattan, Montana",earthquake,0.51,7.12,0.128,3,reviewed,mb,mb
2017-05-02T19:06:57.830Z,34.9845,-118.1893333,-0.86,1.2,ml,10,127,0.1103,0.15,ci,ci37638335,2017-05-02T21:06:53.772Z,"7km S of Mojave, California",quarry blast,0.51,31.61,0.089,8,reviewed,ci,ci
2017-05-02T18:56:20.870Z,34.3221667,-116.935,-1.74,1.17,ml,12,95,0.06087,0.17,ci,ci37638311,2017-05-02T20:59:04.696Z,"8km NNW of Big Bear Lake, California",quarry blast,0.59,31.61,0.112,16,reviewed,ci,ci
2017-05-02T18:55:45.000Z,47.1808333,-122.2023333,16.04,1.13,ml,11,97,0.09153,0.09,uw,uw61277586,2017-05-02T21:08:32.210Z,"1km WNW of Bonney Lake, Washington",earthquake,0.55,0.86,0.21,9,reviewed,uw,uw
2017-05-02T18:53:17.100Z,59.7761,-136.7066,0,1.7,ml,,,,0.75,ak,ak15876921,2017-05-02T19:00:11.745Z,"86km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-02T18:48:01.060Z,36.6928,-97.6686,1.86,2.5,mb_lg,,51,0.22,0.26,us,us10008n5i,2017-05-03T01:36:35.410Z,"13km SSE of Medford, Oklahoma",earthquake,0.5,1.9,0.117,19,reviewed,us,us
2017-05-02T18:44:24.660Z,59.8319,-136.8331,0,1.8,ml,,,,0.89,ak,ak15876918,2017-05-02T18:47:36.358Z,"95km WNW of Skagway, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-05-02T18:41:14.039Z,59.7696,-136.6864,0,2.1,ml,,,,0.89,ak,ak15876915,2017-05-02T18:45:55.185Z,"84km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-02T18:35:58.262Z,51.4202,-176.2154,17.4,2.5,ml,,,,0.33,ak,ak15876902,2017-05-03T01:32:57.831Z,"59km SSE of Adak, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2017-05-02T18:24:47.782Z,38.4041,-118.9322,7.5,1.8,ml,17,49.8,0.141,0.2039,nn,nn00587752,2017-05-03T00:27:03.231Z,"29km WSW of Hawthorne, Nevada",earthquake,,2.1,0.22,6,reviewed,nn,nn
2017-05-02T18:19:57.656Z,59.7692,-136.6778,0,1.5,ml,,,,0.77,ak,ak15876898,2017-05-02T18:25:32.377Z,"84km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-02T18:17:51.136Z,59.8188,-136.8225,0,1.9,ml,,,,0.61,ak,ak15876897,2017-05-02T18:25:32.656Z,"94km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-02T18:10:23.733Z,59.8014,-136.6991,0.1,2,ml,,,,0.7,ak,ak15875887,2017-05-02T18:14:37.284Z,"86km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-02T18:10:15.440Z,32.6808333,-115.5465,14.1,1.49,ml,17,125,0.09892,0.26,ci,ci37157924,2017-05-02T20:38:32.266Z,"4km W of Calexico, California",earthquake,0.62,1.19,0.183,9,reviewed,ci,ci
2017-05-02T18:09:57.370Z,32.7141667,-115.5491667,13.09,1.74,ml,26,74,0.0798,0.19,ci,ci37638271,2017-05-02T20:32:22.204Z,"2km SW of Heber, California",earthquake,0.34,0.59,0.269,21,reviewed,ci,ci
2017-05-02T18:09:00.200Z,32.7256667,-115.5521667,15.78,2.1,ml,30,71,0.07077,0.24,ci,ci37638263,2017-05-02T20:31:39.700Z,"2km WSW of Heber, California",earthquake,0.4,0.5,0.309,24,reviewed,ci,ci
2017-05-02T18:08:59.197Z,59.7724,-136.6886,0,1.8,ml,,,,0.63,ak,ak15875886,2017-05-02T18:12:52.124Z,"85km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-02T18:07:39.330Z,35.0435,-118.3191667,-0.82,1.39,ml,21,61,0.05589,0.12,ci,ci37638255,2017-05-02T18:36:48.310Z,"13km W of Mojave, California",quarry blast,0.27,31.61,0.155,22,reviewed,ci,ci
2017-05-02T18:04:29.078Z,59.8752,-136.6978,0,1.4,ml,,,,0.8,ak,ak15875873,2017-05-02T18:07:57.500Z,"90km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-02T18:01:47.847Z,59.7618,-136.6814,0,1.6,ml,,,,0.98,ak,ak15875871,2017-05-02T18:07:57.727Z,"84km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-02T18:01:13.010Z,33.8185,-117.6396667,4.8,2.73,ml,94,31,0.03442,0.17,ci,ci37638239,2017-05-03T00:23:00.636Z,"9km SW of Corona, California",earthquake,0.14,0.35,0.233,26,reviewed,ci,ci
2017-05-02T17:55:41.315Z,59.7782,-136.7297,2.8,1.8,ml,,,,0.77,ak,ak15875860,2017-05-02T18:07:57.226Z,"87km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-02T17:46:43.040Z,59.8029,-136.6719,10,3.9,mwr,,88,0.567,0.69,us,us10008n22,2017-05-02T22:07:45.203Z,"85km WNW of Skagway, Alaska",earthquake,2.8,1.9,0.057,30,reviewed,us,us
2017-05-02T17:46:00.070Z,19.2264996,-155.4151611,33.77,1.93,md,44,140,0.01996,0.13,hv,hv61726626,2017-05-02T17:49:14.760Z,"7km ENE of Pahala, Hawaii",earthquake,0.48,0.52,0.1,7,automatic,hv,hv
2017-05-02T17:45:08.085Z,67.339,-144.0955,7.3,1.2,ml,,,,0.83,ak,ak15875838,2017-05-02T17:48:09.311Z,"100km NNE of Fort Yukon, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-02T17:20:31.600Z,45.6358333,-122.7176667,15.19,1.74,ml,22,62,0.04595,0.12,uw,uw61277551,2017-05-02T17:52:34.690Z,"4km W of Vancouver, Washington",earthquake,0.3,0.58,0.126,20,reviewed,uw,uw
2017-05-02T17:17:59.970Z,38.826,-122.797,2.87,1.89,md,55,46,0.01054,0.05,nc,nc72796000,2017-05-03T00:50:04.320Z,"6km W of Cobb, California",earthquake,0.12,0.18,0.297,24,reviewed,nc,nc
