code,name,oldprice,price,url
60675-Z,T-shirt with Motif,$12.99,$7.99,http://api.hm.com/us/product/60675?article=60675-Z
89119-P,V-neck Jersey Top,$14.99,$5.99,http://api.hm.com/us/product/89119?article=89119-P
54630-E,Slub Jersey Top,$12.99,$5.99,http://api.hm.com/us/product/54630?article=54630-E
61841-A,Top with Lace Detail,$12.99,$7.99,http://api.hm.com/us/product/61841?article=61841-A
65666-B,Linen Scoop-neck Top,$17.99,$9.99,http://api.hm.com/us/product/65666?article=65666-B
70618-C,T-shirt with Printed Design,$17.99,$9.99,http://api.hm.com/us/product/70618?article=70618-C
66549-A,T-shirt with Motif,$12.99,$7.99,http://api.hm.com/us/product/66549?article=66549-A
65389-C,T-shirt with Printed Design,$14.99,$9.99,http://api.hm.com/us/product/65389?article=65389-C
69666-B,Embroidered Mesh Top,$17.99,$9.99,http://api.hm.com/us/product/69666?article=69666-B
43335-D,Long Linen-blend T-shirt,$17.99,$9.99,http://api.hm.com/us/product/43335?article=43335-D
67573-A,Ruffled Top,$17.99,$9.99,http://api.hm.com/us/product/67573?article=67573-A
60584-A,Long-sleeved Bodysuit,$14.99,$9.99,http://api.hm.com/us/product/60584?article=60584-A
67584-A,Lyocell Top,$14.99,$7.99,http://api.hm.com/us/product/67584?article=67584-A
70480-A,Ribbed Jersey Top,$12.99,$5.99,http://api.hm.com/us/product/70480?article=70480-A
54630-I,Slub Jersey Top,$12.99,$9.99,http://api.hm.com/us/product/54630?article=54630-I
70480-C,Ribbed Jersey Top,$12.99,$5.99,http://api.hm.com/us/product/70480?article=70480-C
61829-D,Lace-trimmed Cotton Tank Top,$6.99,$4.99,http://api.hm.com/us/product/61829?article=61829-D
70462-C,Lyocell Jersey Tank Top,$12.99,$6.99,http://api.hm.com/us/product/70462?article=70462-C
63610-E,Cotton Jersey T-shirt,$12.99,$7.99,http://api.hm.com/us/product/63610?article=63610-E
70480-B,Ribbed Jersey Top,$12.99,$5.99,http://api.hm.com/us/product/70480?article=70480-B
69750-B,Ribbed Tank Top,$6.99,$4.99,http://api.hm.com/us/product/69750?article=69750-B
70988-A,Short Top,$14.99,$9.99,http://api.hm.com/us/product/70988?article=70988-A
69690-A,V-neck Top,$17.99,$7.99,http://api.hm.com/us/product/69690?article=69690-A
62231-A,Jersey T-shirt,$12.99,$5.99,http://api.hm.com/us/product/62231?article=62231-A
69690-B,V-neck Top,$17.99,$7.99,http://api.hm.com/us/product/69690?article=69690-B
66133-A,Short Top,$9.99,$5.99,http://api.hm.com/us/product/66133?article=66133-A
61473-B,Long-sleeved Top,$14.99,$6.99,http://api.hm.com/us/product/61473?article=61473-B
67854-C,Bustier,$14.99,$7.99,http://api.hm.com/us/product/67854?article=67854-C
69540-D,Jersey Camisole Top with Lace,$17.99,$12.99,http://api.hm.com/us/product/69540?article=69540-D
54630-H,Slub Jersey Top,$12.99,$5.99,http://api.hm.com/us/product/54630?article=54630-H
69256-C,One-shoulder Top,$12.99,$7.99,http://api.hm.com/us/product/69256?article=69256-C
62216-D,Short-sleeved Top,$12.99,$5.99,http://api.hm.com/us/product/62216?article=62216-D
64735-A,Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/64735?article=64735-A
61483-A,Jersey Bodysuit,$17.99,$9.99,http://api.hm.com/us/product/61483?article=61483-A
59865-D,Ribbed Sweater,$12.99,$9.99,http://api.hm.com/us/product/59865?article=59865-D
70360-B,Top with Printed Design,$12.99,$5.99,http://api.hm.com/us/product/70360?article=70360-B
